row_type,task,init_mode,clip_mode,activation,runs,successful_runs,failed_runs,nonfinite_failures,failure_steps,gradient_norm_mean,gradient_norm_max_mean,clip_bind_fraction_mean,panel,finite_evaluations,nonfinite_evaluations,token_accuracy_mean,token_accuracy_std,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,recurrent_state_rms_mean,recurrent_state_rms_std,recurrent_state_max_abs_mean,recurrent_state_max_abs_std,logit_rms_mean,logit_rms_std,logit_max_abs_mean,logit_max_abs_std,contrast,metric,paired_seeds,seed_ids,differences_by_seed,mean_difference,std_difference,ci95,identity_wins,ties,tanh_wins
evaluation_panel,two_palindrome,orthogonal,clip_1.0,tanh,20,,,,,,,,longer_lengths,20,0,0.4930387539457289,0.029455762145930986,0.0017578125,0.002362520776676951,0.47601345117212535,0.034237509210451135,0.9987759560346603,0.0017204444483739896,4.4946414493574816,0.571182689424344,20.615766763687134,3.366025312877834,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,tanh,20,,,,,,,,fixed_block_length_3,20,0,0.9467936197916667,0.02849434888017443,0.72890625,0.12522442397240566,0.4706927184630039,0.030849142901946857,0.9991006791591645,0.0013004184615678933,4.630380862780689,0.6093236778706602,20.895108938217163,2.8842569239418476,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,tanh,20,,,,,,,,fixed_block_length_4,20,0,0.5960693359375,0.02589390309747939,0.008544921875,0.0036932441557339635,0.47275946970556165,0.03233362299830131,0.999078631401062,0.0013361266260032418,4.503177992353009,0.5566243135678113,21.165411138534544,3.418298643092932,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,tanh,20,,,,,,,,stress_fixed_block_length_6,20,0,0.339501953125,0.019387585262672456,0.0,0.0,0.48186763975975194,0.03252485833883591,0.9991224974393844,0.0011282080237974249,4.423720876386045,0.47827380422622257,21.069000053405762,3.09534166072663,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,identity,20,,,,,,,,in_distribution,20,0,0.9933370811173362,0.004014898793213762,0.966796875,0.01977642173136259,3.214154948463823,0.3709489025909914,21.497439575195312,3.085245563960847,11.226358979035632,2.0985642121864445,73.00387210845948,16.57603088292585,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,identity,20,,,,,,,,longer_lengths,20,0,0.40780033426761797,0.034469650848202735,0.0015625,0.0019633776951173227,3.767642936750005,0.5145783741140405,30.800120639801026,8.376891569553292,11.988737734512764,2.2757832021048303,81.73346099853515,18.481198229500052,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,identity,20,,,,,,,,fixed_block_length_3,20,0,0.9860432942708334,0.005942045886140652,0.91982421875,0.032363954039138845,3.2966550472925333,0.4006742549915476,23.45626268386841,3.2774358604594775,11.84789136907317,2.336672644749437,79.00338325500488,16.357498135028177,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,identity,20,,,,,,,,fixed_block_length_4,20,0,0.522900390625,0.04618855509284051,0.004345703125,0.002752579059159298,3.2973733565005587,0.3939837781144057,25.265482425689697,4.435139424607608,11.063118050251525,1.97731717996726,80.01817970275879,19.324554822788382,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,clip_1.0,identity,20,,,,,,,,stress_fixed_block_length_6,20,0,0.2700602213541667,0.01677915150887409,0.0,0.0,4.490262969927189,0.7933836890361283,41.321325874328615,11.097887019437964,13.935486850783619,2.8976080483101843,101.96433219909667,30.754327233425638,,,,,,,,,,,
evaluation_panel,two_palindrome,orthogonal,no_clip,tanh,20,,,,,,,,in_distribution,20,0,0.9533250135733337,0.08059345948730445,0.827734375,0.2355265706259188,0.4842082157035129,0.06848257338211614,0.9989645630121231,0.0015556600120370137,5.087431470722123,0.8733074757869784,22.496024656295777,5.227624857721319,,,,,,,,,,,
